# 2025-04-23 15:28:30
# dummytext
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.0;11.09863;8.501641;0;0;0;0;0;0
0.08000011603116726;11.112164;8.580488;0;0;0;0;0;0
0.1600004445867424;11.125476;8.659373;0;0;0;0;0;0
0.2800002608074347;11.144749;8.777815;0;0;0;0;0;0
0.36000013683858867;11.15747;8.856797;0;0;0;0;0;0
0.47999980812147214;11.176332;8.975305;0;0;0;0;0;0
0.5600000016837375;11.188619;9.054356;0;0;0;0;0;0
0.6399999324962069;11.20093;9.133403;0;0;0;0;0;0
0.7599997725669335;11.219489;9.251959;0;0;0;0;0;0
0.8399994757226336;11.231977;9.330978;0;0;0;0;0;0
0.9599994369101279;11.2513;9.449412;0;0;0;0;0;0
1.039999799515555;11.264379;9.528336;0;0;0;0;0;0
1.119999570471477;11.277406;9.607268;0;0;0;0;0;0
1.240000057703821;11.297;9.725658;0;0;0;0;0;0
1.3199995662273114;11.31017;9.804566;0;0;0;0;0;0
1.4399993745271593;11.329784;9.922952;0;0;0;0;0;0
1.519999890450495;11.342996;10.001854;0;0;0;0;0;0
1.5999996805752208;11.356358;10.08073;0;0;0;0;0;0
1.6799994071372524;11.369843;10.159585;0;0;0;0;0;0
1.7999991643786732;11.39001;10.277878;0;0;0;0;0;0
1.8799999289062697;11.403507;10.356732;0;0;0;0;0;0
1.999999930777104;11.423839;10.474997;0;0;0;0;0;0
2.079999960502098;11.437355;10.553847;0;0;0;0;0;0
2.1599993389059335;11.451018;10.632671;0;0;0;0;0;0
2.2799994024767507;11.471662;10.750882;0;0;0;0;0;0
2.3599993677079922;11.485288;10.829713;0;0;0;0;0;0
2.4799997819114443;11.505535;10.947993;0;0;0;0;0;0
2.559999267166038;11.519106;11.026833;0;0;0;0;0;0
2.6399990160468936;11.532556;11.105694;0;0;0;0;0;0
2.759999649711888;11.552944;11.22395;0;0;0;0;0;0
2.8399994038927603;11.566534;11.302787;0;0;0;0;0;0
2.9599989549752537;11.586588;11.421099;0;0;0;0;0;0
3.039999448004984;11.599746;11.50001;0;0;0;0;0;0
3.1199989546284637;11.612892;11.578922;0;0;0;0;0;0
3.199999302440207;11.625989;11.657843;0;0;0;0;0;0
3.319999445560955;11.645307;11.776278;0;0;0;0;0;0
3.3999988188397507;11.658222;11.855228;0;0;0;0;0;0
3.51999903753955;11.67762;11.97365;0;0;0;0;0;0
3.599999193651899;11.690497;12.052607;0;0;0;0;0;0
3.67999933190803;11.703502;12.131543;0;0;0;0;0;0
3.7999985915599126;11.723233;12.249909;0;0;0;0;0;0
3.8799987906846636;11.736311;12.328833;0;0;0;0;0;0
3.9999994877534726;11.75587;12.447229;0;0;0;0;0;0
4.079999027308397;11.76895;12.526152;0;0;0;0;0;0
4.159998879808262;11.78205;12.605072;0;0;0;0;0;0
4.279999122762183;11.801972;12.723407;0;0;0;0;0;0
4.359998703523584;11.815421;12.802268;0;0;0;0;0;0
4.479999202564214;11.835392;12.920595;0;0;0;0;0;0
4.559998764869266;11.848729;12.999475;0;0;0;0;0;0
4.639998857294212;11.862081;13.078353;0;0;0;0;0;0
4.759998787515026;11.881864;13.196711;0;0;0;0;0;0
4.839998386170268;11.894896;13.275642;0;0;0;0;0;0
4.919998551420099;11.908034;13.354556;0;0;0;0;0;0
5.039999296167787;11.927798;13.472918;0;0;0;0;0;0
5.119998476288585;11.94093;13.551832;0;0;0;0;0;0
5.199998886750033;11.954195;13.630725;0;0;0;0;0;0
5.319998996683315;11.974323;13.749025;0;0;0;0;0;0
5.399999137464442;11.987693;13.8279;0;0;0;0;0;0
5.519998378816211;12.008067;13.946157;0;0;0;0;0;0
5.599998493997378;12.021717;14.024984;0;0;0;0;0;0
5.679998361722269;12.035267;14.103828;0;0;0;0;0;0
5.799998432576416;12.05543;14.222122;0;0;0;0;0;0
5.879998210282357;12.068962;14.300969;0;0;0;0;0;0
5.999998181453186;12.089142;14.41926;0;0;0;0;0;0
6.0799986495518175;12.102742;14.498096;0;0;0;0;0;0
7.239986062511544;12.288607;15.643096;0;0;0;0;0;0
7.319985923936425;12.301695;15.722018;0;0;0;0;0;0
7.439986278310901;12.321582;15.840359;0;0;0;0;0;0
7.519986493223113;12.334917;15.91924;0;0;0;0;0;0
7.5999858528768005;12.348464;15.998084;0;0;0;0;0;0
7.679985656726559;12.36221;16.076894;0;0;0;0;0;0
7.799985689234887;12.382911;16.195095;0;0;0;0;0;0
7.879985837497251;12.396892;16.273864;0;0;0;0;0;0
7.999986063163705;12.418096;16.391976;0;0;0;0;0;0
8.079985782944464;12.432142;16.470733;0;0;0;0;0;0
8.159985679056899;12.446099;16.549506;0;0;0;0;0;0
8.2799864323587;12.466827;16.667703;0;0;0;0;0;0
8.359986263989772;12.480458;16.746533;0;0;0;0;0;0
8.479985550604317;12.50071;16.864811;0;0;0;0;0;0
8.559986408205969;12.514149;16.943675;0;0;0;0;0;0
8.639985623127119;12.527377;17.022573;0;0;0;0;0;0
8.759985610093786;12.546871;17.140979;0;0;0;0;0;0
8.839986121898399;12.559854;17.219919;0;0;0;0;0;0
8.959985738106118;12.579095;17.338366;0;0;0;0;0;0
9.039986259710668;12.592011;17.417317;0;0;0;0;0;0
9.119985562832634;12.605023;17.496251;0;0;0;0;0;0
9.199985425588766;12.618002;17.575191;0;0;0;0;0;0
9.3199857081926;12.637241;17.693639;0;0;0;0;0;0
9.399985675555094;12.650178;17.772586;0;0;0;0;0;0
9.519985438159026;12.669858;17.890961;0;0;0;0;0;0
9.599985437821523;12.683013;17.969872;0;0;0;0;0;0
9.679985282352625;12.696203;18.048777;0;0;0;0;0;0
9.7999855608273;12.716018;18.16713;0;0;0;0;0;0
9.879985901951573;12.729336;18.246014;0;0;0;0;0;0
9.999985662368003;12.749106;18.364374;0;0;0;0;0;0
10.079985759024193;12.762135;18.443306;0;0;0;0;0;0
10.159985390404595;12.775021;18.522261;0;0;0;0;0;0
10.279985171141895;12.794065;18.64074;0;0;0;0;0;0
10.359985491522503;12.806795;18.719721;0;0;0;0;0;0
10.479985127776116;12.825894;18.838191;0;0;0;0;0;0
10.559985305000923;12.838404;18.917207;0;0;0;0;0;0
10.639985164263297;12.850893;18.996226;0;0;0;0;0;0
10.719985639286886;12.863493;19.075228;0;0;0;0;0;0
10.8399853626199;12.882305;19.193744;0;0;0;0;0;0
10.919985522669743;12.894903;19.272746;0;0;0;0;0;0
11.03998530044037;12.913519;19.391293;0;0;0;0;0;0
11.119985148152722;12.925504;19.47039;0;0;0;0;0;0
11.199985508433162;12.937466;19.549491;0;0;0;0;0;0
11.319985468403988;12.955269;19.668163;0;0;0;0;0;0
11.399984881808088;12.967145;19.747276;0;0;0;0;0;0
11.51998555261038;12.985112;19.865924;0;0;0;0;0;0
11.599985108259146;12.997062;19.945026;0;0;0;0;0;0
11.679984680389254;13.008832;20.024155;0;0;0;0;0;0
11.799984421072308;13.025702;20.142963;0;0;0;0;0;0
11.879984954133029;13.036363;20.22225;0;0;0;0;0;0
11.999981558039142;13.050381;20.341425;0;0;0;0;0;0
12.079979962285728;13.05806;20.421054;0;0;0;0;0;0
12.159978568836092;13.064247;20.500813;0;0;0;0;0;0
12.23997558863683;13.068266;20.580709;0;0;0;0;0;0
12.359964908703244;13.069679;20.70069;0;0;0;0;0;0
12.439960671803549;13.067534;20.780657;0;0;0;0;0;0
12.559942528606983;13.058603;20.900306;0;0;0;0;0;0
12.639936396653226;13.048529;20.979663;0;0;0;0;0;0
12.719930865893295;13.035282;21.058553;0;0;0;0;0;0
12.839913821291132;13.009613;21.175758;0;0;0;0;0;0
12.919908847761532;12.988711;21.252974;0;0;0;0;0;0
13.03988885440014;12.951559;21.367057;0;0;0;0;0;0
13.119883711391076;12.922908;21.441745;0;0;0;0;0;0
13.199878882201567;12.891361;21.515257;0;0;0;0;0;0
13.31985779505712;12.838424;21.622926;0;0;0;0;0;0
13.399852899738594;12.799386;21.692749;0;0;0;0;0;0
13.519833000542853;12.735661;21.794407;0;0;0;0;0;0
13.599825981797462;12.689606;21.859812;0;0;0;0;0;0
13.679819305225106;12.640598;21.923035;0;0;0;0;0;0
13.79979857007533;12.562073;22.013748;0;0;0;0;0;0
13.879791973334598;12.506491;22.071277;0;0;0;0;0;0
13.959783979966513;12.448325;22.12619;0;0;0;0;0;0
14.079761799187398;12.356524;22.203438;0;0;0;0;0;0
14.159754399207651;12.292531;22.251435;0;0;0;0;0;0
14.23974723654325;12.226311;22.29631;0;0;0;0;0;0
14.359727925360245;12.123511;22.358177;0;0;0;0;0;0
14.439721338201553;12.052808;22.395594;0;0;0;0;0;0
14.559702808808478;11.944016;22.446189;0;0;0;0;0;0
14.639698390792734;11.86996;22.476438;0;0;0;0;0;0
14.719694957075294;11.794899;22.504102;0;0;0;0;0;0
14.839686334573845;11.680792;22.541217;0;0;0;0;0;0
14.919684102523957;11.603923;22.563371;0;0;0;0;0;0
15.03967702742372;11.487638;22.59297;0;0;0;0;0;0
15.119675978129338;11.409571;22.610445;0;0;0;0;0;0
