x_position,y_position,yaw,speed
11.457915, 10.672072, 1.397637, 4.000000
11.464812, 10.711473, 1.396873, 4.000000
11.464812, 10.711473, 1.396873, 4.000000
11.464812, 10.711473, 1.396873, 4.000000
11.471662, 10.750882, 1.396894, 4.000000
11.471662, 10.750882, 1.396894, 4.000000
11.478496, 10.790294, 1.397213, 4.000000
11.478496, 10.790294, 1.397213, 4.000000
11.478496, 10.790294, 1.397213, 4.000000
11.485288, 10.829713, 1.398054, 4.000000
11.485288, 10.829713, 1.398054, 4.000000
11.492064, 10.869135, 1.398992, 4.000000
11.492064, 10.869135, 1.398992, 4.000000
11.492064, 10.869135, 1.398992, 4.000000
11.498797, 10.908564, 1.400298, 4.000000
11.498797, 10.908564, 1.400298, 4.000000
11.505535, 10.947993, 1.401267, 4.000000
11.505535, 10.947993, 1.401267, 4.000000
11.505535, 10.947993, 1.401267, 4.000000
11.512323, 10.987412, 1.401404, 4.000000
11.512323, 10.987412, 1.401404, 4.000000
11.519106, 11.026833, 1.401523, 4.000000
11.519106, 11.026833, 1.401523, 4.000000
11.519106, 11.026833, 1.401523, 4.000000
11.525832, 11.066264, 1.402202, 4.000000
11.525832, 11.066264, 1.402202, 4.000000
11.532556, 11.105694, 1.402692, 4.000000
11.532556, 11.105694, 1.402692, 4.000000
11.532556, 11.105694, 1.402692, 4.000000
11.539327, 11.145117, 1.402463, 4.000000
11.539327, 11.145117, 1.402463, 4.000000
11.546114, 11.184537, 1.401989, 4.000000
11.546114, 11.184537, 1.401989, 4.000000
11.546114, 11.184537, 1.401989, 4.000000
11.552944, 11.223950, 1.401031, 4.000000
11.552944, 11.223950, 1.401031, 4.000000
11.559766, 11.263364, 1.400323, 4.000000
11.559766, 11.263364, 1.400323, 4.000000
11.559766, 11.263364, 1.400323, 4.000000
11.566534, 11.302787, 1.400379, 4.000000
11.566534, 11.302787, 1.400379, 4.000000
11.573279, 11.342214, 1.400719, 4.000000
11.573279, 11.342214, 1.400719, 4.000000
11.573279, 11.342214, 1.400719, 4.000000
11.579962, 11.381652, 1.401729, 4.000000
11.579962, 11.381652, 1.401729, 4.000000
11.586588, 11.421099, 1.403225, 4.000000
11.586588, 11.421099, 1.403225, 4.000000
11.586588, 11.421099, 1.403225, 4.000000
11.593193, 11.460550, 1.404652, 4.000000
11.593193, 11.460550, 1.404652, 4.000000
11.599746, 11.500010, 1.406322, 4.000000
11.599746, 11.500010, 1.406322, 4.000000
11.599746, 11.500010, 1.406322, 4.000000
11.606298, 11.539470, 1.407559, 4.000000
11.606298, 11.539470, 1.407559, 4.000000
11.612892, 11.578922, 1.407892, 4.000000
11.612892, 11.578922, 1.407892, 4.000000
11.612892, 11.578922, 1.407892, 4.000000
11.619472, 11.618377, 1.408152, 4.000000
11.619472, 11.618377, 1.408152, 4.000000
11.625989, 11.657843, 1.408930, 4.000000
11.625989, 11.657843, 1.408930, 4.000000
11.625989, 11.657843, 1.408930, 4.000000
11.632471, 11.697314, 1.409805, 4.000000
11.632471, 11.697314, 1.409805, 4.000000
11.638893, 11.736795, 1.411051, 4.000000
11.638893, 11.736795, 1.411051, 4.000000
11.638893, 11.736795, 1.411051, 4.000000
11.645307, 11.776278, 1.411962, 4.000000
11.645307, 11.776278, 1.411962, 4.000000
11.651760, 11.815754, 1.412046, 4.000000
11.651760, 11.815754, 1.412046, 4.000000
11.651760, 11.815754, 1.412046, 4.000000
11.658222, 11.855228, 1.411801, 4.000000
11.658222, 11.855228, 1.411801, 4.000000
11.664719, 11.894697, 1.411009, 4.000000
11.664719, 11.894697, 1.411009, 4.000000
11.664719, 11.894697, 1.411009, 4.000000
11.671200, 11.934169, 1.410420, 4.000000
11.671200, 11.934169, 1.410420, 4.000000
11.677620, 11.973650, 1.410560, 4.000000
11.677620, 11.973650, 1.410560, 4.000000
11.677620, 11.973650, 1.410560, 4.000000
11.684035, 12.013132, 1.410641, 4.000000
11.684035, 12.013132, 1.410641, 4.000000
11.690497, 12.052607, 1.410105, 4.000000
11.690497, 12.052607, 1.410105, 4.000000
11.690497, 12.052607, 1.410105, 4.000000
11.696977, 12.092079, 1.409399, 4.000000
11.696977, 12.092079, 1.409399, 4.000000
11.703502, 12.131543, 1.408269, 4.000000
11.703502, 12.131543, 1.408269, 4.000000
11.703502, 12.131543, 1.408269, 4.000000
11.710047, 12.171004, 1.407117, 4.000000
11.710047, 12.171004, 1.407117, 4.000000
11.716641, 12.210456, 1.405653, 4.000000
11.716641, 12.210456, 1.405653, 4.000000
11.716641, 12.210456, 1.405653, 4.000000
11.723233, 12.249909, 1.404568, 4.000000
11.723233, 12.249909, 1.404568, 4.000000
11.729780, 12.289370, 1.404348, 4.000000
11.729780, 12.289370, 1.404348, 4.000000
11.729780, 12.289370, 1.404348, 4.000000
11.736311, 12.328833, 1.404486, 4.000000
11.736311, 12.328833, 1.404486, 4.000000
11.742803, 12.368303, 1.405192, 4.000000
11.742803, 12.368303, 1.405192, 4.000000
11.742803, 12.368303, 1.405192, 4.000000
11.749307, 12.407771, 1.405715, 4.000000
11.749307, 12.407771, 1.405715, 4.000000
11.755870, 12.447229, 1.405521, 4.000000
11.755870, 12.447229, 1.405521, 4.000000
11.755870, 12.447229, 1.405521, 4.000000
11.762434, 12.486686, 1.405398, 4.000000
11.762434, 12.486686, 1.405398, 4.000000
11.768950, 12.526152, 1.405901, 4.000000
11.768950, 12.526152, 1.405901, 4.000000
11.768950, 12.526152, 1.405901, 4.000000
11.775473, 12.565616, 1.406265, 4.000000
11.775473, 12.565616, 1.406265, 4.000000
11.782050, 12.605072, 1.405948, 4.000000
11.782050, 12.605072, 1.405948, 4.000000
11.782050, 12.605072, 1.405948, 4.000000
11.788650, 12.644524, 1.405413, 4.000000
11.788650, 12.644524, 1.405413, 4.000000
11.795300, 12.683967, 1.404414, 4.000000
11.795300, 12.683967, 1.404414, 4.000000
11.795300, 12.683967, 1.404414, 4.000000
11.801972, 12.723407, 1.403365, 4.000000
11.801972, 12.723407, 1.403365, 4.000000
11.808696, 12.762838, 1.401979, 4.000000
11.808696, 12.762838, 1.401979, 4.000000
11.808696, 12.762838, 1.401979, 4.000000
11.815421, 12.802268, 1.400956, 4.000000
11.815421, 12.802268, 1.400956, 4.000000
11.822100, 12.841707, 1.400783, 4.000000
11.822100, 12.841707, 1.400783, 4.000000
11.822100, 12.841707, 1.400783, 4.000000
11.828766, 12.881147, 1.400957, 4.000000
11.828766, 12.881147, 1.400957, 4.000000
11.835392, 12.920595, 1.401691, 4.000000
11.835392, 12.920595, 1.401691, 4.000000
11.835392, 12.920595, 1.401691, 4.000000
11.842031, 12.960040, 1.402235, 4.000000
11.842031, 12.960040, 1.402235, 4.000000
11.848729, 12.999475, 1.402058, 4.000000
11.848729, 12.999475, 1.402058, 4.000000
11.848729, 12.999475, 1.402058, 4.000000
11.855429, 13.038910, 1.401947, 4.000000
11.855429, 13.038910, 1.401947, 4.000000
11.862081, 13.078353, 1.402460, 4.000000
11.862081, 13.078353, 1.402460, 4.000000
11.862081, 13.078353, 1.402460, 4.000000
11.868713, 13.117799, 1.403146, 4.000000
11.868713, 13.117799, 1.403146, 4.000000
11.875299, 13.157253, 1.404261, 4.000000
11.875299, 13.157253, 1.404261, 4.000000
11.875299, 13.157253, 1.404261, 4.000000
11.881864, 13.196711, 1.405401, 4.000000
11.881864, 13.196711, 1.405401, 4.000000
11.888380, 13.236177, 1.406855, 4.000000
11.888380, 13.236177, 1.406855, 4.000000
11.888380, 13.236177, 1.406855, 4.000000
11.894896, 13.275642, 1.407931, 4.000000
11.894896, 13.275642, 1.407931, 4.000000
11.901458, 13.315100, 1.408145, 4.000000
11.901458, 13.315100, 1.408145, 4.000000
11.901458, 13.315100, 1.408145, 4.000000
11.908034, 13.354556, 1.408002, 4.000000
11.908034, 13.354556, 1.408002, 4.000000
11.914650, 13.394005, 1.407291, 4.000000
11.914650, 13.394005, 1.407291, 4.000000
11.914650, 13.394005, 1.407291, 4.000000
11.921253, 13.433457, 1.406765, 4.000000
11.921253, 13.433457, 1.406765, 4.000000
11.927798, 13.472918, 1.406956, 4.000000
11.927798, 13.472918, 1.406956, 4.000000
11.927798, 13.472918, 1.406956, 4.000000
11.934340, 13.512379, 1.407077, 4.000000
11.934340, 13.512379, 1.407077, 4.000000
11.940930, 13.551832, 1.406572, 4.000000
11.940930, 13.551832, 1.406572, 4.000000
11.940930, 13.551832, 1.406572, 4.000000
11.947540, 13.591282, 1.405891, 4.000000
11.947540, 13.591282, 1.405891, 4.000000
11.954195, 13.630725, 1.404780, 4.000000
11.954195, 13.630725, 1.404780, 4.000000
11.954195, 13.630725, 1.404780, 4.000000
11.960872, 13.670164, 1.403643, 4.000000
11.960872, 13.670164, 1.403643, 4.000000
11.967598, 13.709594, 1.402191, 4.000000
11.967598, 13.709594, 1.402191, 4.000000
11.967598, 13.709594, 1.402191, 4.000000
11.974323, 13.749025, 1.401117, 4.000000
11.974323, 13.749025, 1.401117, 4.000000
11.981002, 13.788463, 1.400904, 4.000000
11.981002, 13.788463, 1.400904, 4.000000
11.981002, 13.788463, 1.400904, 4.000000
11.987693, 13.827900, 1.400732, 4.000000
11.987693, 13.827900, 1.400732, 4.000000
11.994444, 13.867326, 1.400017, 4.000000
11.994444, 13.867326, 1.400017, 4.000000
11.994444, 13.867326, 1.400017, 4.000000
12.001227, 13.906746, 1.399188, 4.000000
12.001227, 13.906746, 1.399188, 4.000000
12.008067, 13.946157, 1.397974, 4.000000
12.008067, 13.946157, 1.397974, 4.000000
12.008067, 13.946157, 1.397974, 4.000000
12.014913, 13.985567, 1.397085, 4.000000
12.014913, 13.985567, 1.397085, 4.000000
12.021717, 14.024984, 1.397015, 4.000000
12.021717, 14.024984, 1.397015, 4.000000
12.021717, 14.024984, 1.397015, 4.000000
12.028510, 14.064403, 1.397270, 4.000000
12.028510, 14.064403, 1.397270, 4.000000
12.035267, 14.103828, 1.398067, 4.000000
12.035267, 14.103828, 1.398067, 4.000000
12.035267, 14.103828, 1.398067, 4.000000
12.042011, 14.143256, 1.398975, 4.000000
12.042011, 14.143256, 1.398975, 4.000000
12.048716, 14.182690, 1.400262, 4.000000
12.048716, 14.182690, 1.400262, 4.000000
12.048716, 14.182690, 1.400262, 4.000000
12.055430, 14.222122, 1.401220, 4.000000
12.055430, 14.222122, 1.401220, 4.000000
12.062198, 14.261545, 1.401351, 4.000000
12.062198, 14.261545, 1.401351, 4.000000
12.062198, 14.261545, 1.401351, 4.000000
12.068962, 14.300969, 1.401468, 4.000000
12.068962, 14.300969, 1.401468, 4.000000
12.075672, 14.340402, 1.402147, 4.000000
12.075672, 14.340402, 1.402147, 4.000000
12.075672, 14.340402, 1.402147, 4.000000
12.082383, 14.379835, 1.402639, 4.000000
12.082383, 14.379835, 1.402639, 4.000000
12.089142, 14.419260, 1.402414, 4.000000
12.089142, 14.419260, 1.402414, 4.000000
12.089142, 14.419260, 1.402414, 4.000000
12.095920, 14.458682, 1.401944, 4.000000
12.095920, 14.458682, 1.401944, 4.000000
12.102742, 14.498096, 1.400990, 4.000000
12.102742, 14.498096, 1.400990, 4.000000
12.231168, 15.287709, 1.419769, 4.000000
12.275716, 15.564142, 1.406282, 4.000000
12.282152, 15.603621, 1.405548, 4.000000
12.282152, 15.603621, 1.405548, 4.000000
12.282152, 15.603621, 1.405548, 4.000000
12.288607, 15.643096, 1.404989, 4.000000
12.288607, 15.643096, 1.404989, 4.000000
12.295131, 15.682561, 1.403989, 4.000000
12.295131, 15.682561, 1.403989, 4.000000
12.295131, 15.682561, 1.403989, 4.000000
12.301695, 15.722018, 1.402953, 4.000000
12.301695, 15.722018, 1.402953, 4.000000
12.308326, 15.761465, 1.401591, 4.000000
12.308326, 15.761465, 1.401591, 4.000000
12.308326, 15.761465, 1.401591, 4.000000
12.314971, 15.800909, 1.400596, 4.000000
12.314971, 15.800909, 1.400596, 4.000000
12.321582, 15.840359, 1.400454, 4.000000
12.321582, 15.840359, 1.400454, 4.000000
12.321582, 15.840359, 1.400454, 4.000000
12.328215, 15.879805, 1.400344, 4.000000
12.328215, 15.879805, 1.400344, 4.000000
12.334917, 15.919240, 1.399683, 4.000000
12.334917, 15.919240, 1.399683, 4.000000
12.334917, 15.919240, 1.399683, 4.000000
12.341658, 15.958668, 1.398901, 4.000000
12.341658, 15.958668, 1.398901, 4.000000
12.348464, 15.998084, 1.397729, 4.000000
12.348464, 15.998084, 1.397729, 4.000000
12.348464, 15.998084, 1.397729, 4.000000
12.355305, 16.037495, 1.396559, 4.000000
12.355305, 16.037495, 1.396559, 4.000000
12.362210, 16.076894, 1.395094, 4.000000
12.362210, 16.076894, 1.395094, 4.000000
12.362210, 16.076894, 1.395094, 4.000000
12.369127, 16.116292, 1.394020, 4.000000
12.369127, 16.116292, 1.394020, 4.000000
12.376009, 16.155695, 1.393816, 4.000000
12.376009, 16.155695, 1.393816, 4.000000
12.376009, 16.155695, 1.393816, 4.000000
12.382911, 16.195095, 1.393659, 4.000000
12.382911, 16.195095, 1.393659, 4.000000
12.389882, 16.234483, 1.392962, 4.000000
12.389882, 16.234483, 1.392962, 4.000000
12.389882, 16.234483, 1.392962, 4.000000
12.396892, 16.273864, 1.392153, 4.000000
12.396892, 16.273864, 1.392153, 4.000000
12.403965, 16.313234, 1.390959, 4.000000
12.403965, 16.313234, 1.390959, 4.000000
12.403965, 16.313234, 1.390959, 4.000000
12.411049, 16.352602, 1.390089, 4.000000
12.411049, 16.352602, 1.390089, 4.000000
12.418096, 16.391976, 1.390038, 4.000000
12.418096, 16.391976, 1.390038, 4.000000
12.418096, 16.391976, 1.390038, 4.000000
12.425136, 16.431352, 1.390310, 4.000000
